Title,Address
1107 S 2nd St.,"1107 S 2nd St, Champaign, IL"
112 E Green,"112 E Green St, Champaign, IL"
Skyline Tower,"519 E Green St, Champaign, IL"
Skyline West,"509 E Green St, Champaign, IL"
509 1/2 E. Green St.,"509 E Green St, Champaign, IL"
Skylight Court,"410 E Green St, Champaign, IL"
408 E. Green St.,"408 E Green St, Champaign, IL"
Park Place Tower,"202 E Green St, Champaign, IL"
406 E. Green St.,"406 E Green St, Champaign, IL"
624 S. 5th St.,"624 S 5th St, Champaign, IL"
403 E. Green St.,"403 E Green St, Champaign, IL"
621 E. Green St.,"621 E Green St, Champaign, IL"
